id,ticket,category,sub_category,entity_start,entity_end,entity_label,label
1,"Dear HR, I'm Virginie Thibault from the administration office and worikng as secretary and administrative assistant. I would like to ask you whether is it possible to have a salary increase of the 9%, so to pass from my current salary of 45400 euros to 49500 euros. Thank you in advance for your comprehension and your kind response. Best regards, VT.",Salary,Salary raise,197,199,increase_in_percentage,Salary_Salary raise
1,"Dear HR, I'm Virginie Thibault from the administration office and worikng as secretary and administrative assistant. I would like to ask you whether is it possible to have a salary increase of the 9%, so to pass from my current salary of 45400 euros to 49500 euros. Thank you in advance for your comprehension and your kind response. Best regards, VT.",Salary,Salary raise,77,115,work_title,Salary_Salary raise
1,"Dear HR, I'm Virginie Thibault from the administration office and worikng as secretary and administrative assistant. I would like to ask you whether is it possible to have a salary increase of the 9%, so to pass from my current salary of 45400 euros to 49500 euros. Thank you in advance for your comprehension and your kind response. Best regards, VT.",Salary,Salary raise,238,249,salary,Salary_Salary raise
1,"Dear HR, I'm Virginie Thibault from the administration office and worikng as secretary and administrative assistant. I would like to ask you whether is it possible to have a salary increase of the 9%, so to pass from my current salary of 45400 euros to 49500 euros. Thank you in advance for your comprehension and your kind response. Best regards, VT.",Salary,Salary raise,253,264,salary,Salary_Salary raise
2,"Dear Sir./Madam., this email is to make you aware of an unacceptable behavior from a colleague working in my office. In particular, this colleague offended me and discriminated me because of my nationality. I hope you could find a way to solve this situation soon. Thanks in advance for your comprehension. Best, Alexandre",Complaint,complaint,163,205,complaint,Complaint_complaint
2,"Dear Sir./Madam., this email is to make you aware of an unacceptable behavior from a colleague working in my office. In particular, this colleague offended me and discriminated me because of my nationality. I hope you could find a way to solve this situation soon. Thanks in advance for your comprehension. Best, Alexandre",Complaint,complaint,83,94,to_who,Complaint_complaint
3,"Dear colleagues, 
I need to request a time off of at least 3 months due to a serious illness of a close family member. I have already talked with my manager about this and I have her full support. 
The sooner I can start this time off the better. Would it be possible to first set the time period to 3 months with the option to extend it if needed? 

Best regards, 
Julien Robin
",Life event,Personal issues,76,118,description_life_event,Life event_Personal issues
4,"Dear colleagues, 

there is a personal issue in our team structure that I need to share with you. I work in my current team for about nine years now and my current manager is with us for about seven years. At first, I got to know her as a fair and honourable person. 
But in the past few years, I have witnessed again and again that my manager is favouring a certain colleague in our team. 
My suspicion was first raised when that colleague was promoted to T3 way before her peers even though she does not take more responsibility than average or shows significantly better result. Plus, although it is important for everyone in the team to regularly attend conferences, the favourited colleage gets to attend these conferences at least twice as often as other colleagues in our team. 
There are many other examples that strengthed my suspicion and I do not want to go into details now. 
I am not sure how to address this properly. I have not confronted my manager or my colleague about this. But I definitely do not want to leave this unadressed. Could you please help me / us as a team to address this issue in the right way? 

Kind regards, 
Gerta Wernecke",Complaint,complaint,336,391,complaint,Complaint_complaint
4,"Dear colleagues, 

there is a personal issue in our team structure that I need to share with you. I work in my current team for about nine years now and my current manager is with us for about seven years. At first, I got to know her as a fair and honourable person. 
But in the past few years, I have witnessed again and again that my manager is favouring a certain colleague in our team. 
My suspicion was first raised when that colleague was promoted to T3 way before her peers even though she does not take more responsibility than average or shows significantly better result. Plus, although it is important for everyone in the team to regularly attend conferences, the favourited colleage gets to attend these conferences at least twice as often as other colleagues in our team. 
There are many other examples that strengthed my suspicion and I do not want to go into details now. 
I am not sure how to address this properly. I have not confronted my manager or my colleague about this. But I definitely do not want to leave this unadressed. Could you please help me / us as a team to address this issue in the right way? 

Kind regards, 
Gerta Wernecke",Complaint,complaint,154,170,to_who,Complaint_complaint
5,"Dear colleagues, 
I want to get a refund for the plane ticket from Nuernberg to London on the 13th Aug 2016. I have created a corresponding report in Concur and submitted it. That was about three weeks ago. But so far, I did not get any notification if the report is accepted. The IO under which I booked is: 29671028356. 
Could you please assist in this issue? 
I added the receipt for the plane ticket as an attachment. 

Best regards, 
Clemens Hoefig",Refund,Refund travel,67,76,location,Refund_Refund travel
